year,date,stage,is_knockout,home_team,away_team,home_goals,away_goals,outcome,attendance
1930,1930-07-13 15:00:00,Group 1,0,France,Mexico,4.0,1.0,home_win,4444.0
1930,1930-07-13 15:00:00,Group 4,0,USA,Belgium,3.0,0.0,home_win,18346.0
1930,1930-07-14 12:45:00,Group 2,0,Serbia,Brazil,2.0,1.0,home_win,24059.0
1930,1930-07-14 14:50:00,Group 3,0,Romania,Peru,3.0,1.0,home_win,2549.0
1930,1930-07-15 16:00:00,Group 1,0,Argentina,France,1.0,0.0,home_win,23409.0
1930,1930-07-16 14:45:00,Group 1,0,Chile,Mexico,3.0,0.0,home_win,9249.0
1930,1930-07-17 12:45:00,Group 2,0,Serbia,Bolivia,4.0,0.0,home_win,18306.0
1930,1930-07-17 14:45:00,Group 4,0,USA,Paraguay,3.0,0.0,home_win,18306.0
1930,1930-07-18 14:30:00,Group 3,0,Uruguay,Peru,1.0,0.0,home_win,57735.0
1930,1930-07-19 12:50:00,Group 1,0,Chile,France,1.0,0.0,home_win,2000.0
1930,1930-07-19 15:00:00,Group 1,0,Argentina,Mexico,6.0,3.0,home_win,42100.0
1930,1930-07-20 13:00:00,Group 2,0,Brazil,Bolivia,4.0,0.0,home_win,25466.0
1930,1930-07-20 15:00:00,Group 4,0,Paraguay,Belgium,1.0,0.0,home_win,12000.0
1930,1930-07-21 14:50:00,Group 3,0,Uruguay,Romania,4.0,0.0,home_win,70022.0
1930,1930-07-22 14:45:00,Group 1,0,Argentina,Chile,3.0,1.0,home_win,41459.0
1930,1930-07-26 14:45:00,Semi-finals,1,Argentina,USA,6.0,1.0,home_win,72886.0
1930,1930-07-27 14:45:00,Semi-finals,1,Uruguay,Serbia,6.0,1.0,home_win,79867.0
1930,1930-07-30 14:15:00,Final,1,Uruguay,Argentina,4.0,2.0,home_win,68346.0
1934,1934-05-27 16:30:00,Preliminary round,1,Austria,France,3.0,2.0,home_win,16000.0
1934,1934-05-27 16:30:00,Preliminary round,1,Hungary,Egypt,4.0,2.0,home_win,9000.0
1934,1934-05-27 16:30:00,Preliminary round,1,Switzerland,Netherlands,3.0,2.0,home_win,33000.0
1934,1934-05-27 16:30:00,Preliminary round,1,Sweden,Argentina,3.0,2.0,home_win,14000.0
1934,1934-05-27 16:30:00,Preliminary round,1,Germany,Belgium,5.0,2.0,home_win,8000.0
1934,1934-05-27 16:30:00,Preliminary round,1,Spain,Brazil,3.0,1.0,home_win,21000.0
1934,1934-05-27 16:30:00,Preliminary round,1,Italy,USA,7.0,1.0,home_win,25000.0
1934,1934-05-27 16:30:00,Preliminary round,1,Czech Republic,Romania,2.0,1.0,home_win,9000.0
1934,1934-05-31 16:30:00,Quarter-finals,1,Czech Republic,Switzerland,3.0,2.0,home_win,12000.0
1934,1934-05-31 16:30:00,Quarter-finals,1,Germany,Sweden,2.0,1.0,home_win,3000.0
1934,1934-05-31 16:30:00,Quarter-finals,1,Italy,Spain,1.0,1.0,draw,35000.0
1934,1934-05-31 16:30:00,Quarter-finals,1,Austria,Hungary,2.0,1.0,home_win,23000.0
